it,loss,R,rmean,rvar,cx,cy,cp,cq
162,1.2159977814476757,1.2159964415751874,0.9412199363304141,0.026181598102346607,-0.027263622466443736,-0.017951493916855396,0.015091266344905395,0.006500424317431838
163,1.2122249182382618,1.212223584122509,0.9403442440799904,0.02664934577886527,-0.026417298549405853,-0.02133879410652453,0.004110652535181765,0.012631251868722855
164,1.2084774920117711,1.2084752730253974,0.9402498180341857,0.026813525862457225,-0.029885793439593952,-0.024838840890240684,0.013596674259564645,0.022789672707941473
165,1.209394155684323,1.209390940900856,0.9431321416533983,0.02628536756610977,-0.03724258372387521,-0.030017181376194812,0.0011241122987742228,0.03034280010807025
166,1.2122716881963138,1.2122692884616422,0.9403158278922616,0.026979875172388413,-0.03922402806474482,-0.026193832685262465,-0.003887163754878705,0.012450016499141606
167,1.1974990510591355,1.1974973280322954,0.9414259907944418,0.026101506068401274,-0.029602284108490723,-0.02673714367921106,0.004335214833430609,0.010394169290862018
168,1.196160024253542,1.1961588316728278,0.9376897602619607,0.025657831364051902,-0.029640637964433645,-0.011644964211622635,-0.012981012003275368,0.002193430704098425
169,1.1942861578129358,1.1942837341477457,0.9389373091403946,0.025464089956493192,-0.03453476214598993,-0.02821480492491163,-0.018891646413811962,0.008536025985970749
170,1.1964488513853613,1.1964477149812318,0.937681575312706,0.025331659914915733,-0.025428970533740918,-0.007326744933012971,-0.020182725276171338,-0.004843646607801467
171,1.197514900256768,1.197513486459236,0.9432600595901579,0.02496499527838116,-0.02450170048065172,-0.0021008091468404117,-0.025487433897289077,-0.012411402393352077
172,1.1979504562487884,1.1979481925914894,0.9398187838419969,0.025491731696636644,-0.02816794095861883,-0.02252307589378433,-0.02850236949148466,-0.012043174922284777
173,1.2031237068189966,1.2031227047160216,0.9422766965540149,0.02592395738021899,-0.021570145174508185,-0.002047237674414306,-0.015487191563246553,-0.016945832758864188
174,1.205235594748333,1.2052345923969556,0.939757999479645,0.02621378164634126,-0.017679924004852257,0.0038496372794221286,-0.020553913485209036,-0.01570838162571962
175,1.2022281682013045,1.202227346708874,0.9374650108506066,0.02542842660540895,-0.018371970627785384,-0.00505478609061914,-0.019914971164804764,-0.00748107886283515
176,1.1988215172209196,1.1988200122280726,0.9402866371540337,0.02555940521580498,-0.017859361582576224,0.011195320107285852,-0.03220720928980599,0.004177814769041599
177,1.1980624498807606,1.1980608989583779,0.9369198776710927,0.025096942113109966,-0.021600959410363354,0.006002358011103098,-0.030536305953208772,-0.010477753893639384
178,1.1967939499294415,1.1967934234198476,0.9365184440512673,0.02503033044941671,-0.013643326158414956,0.00035580496990452116,-0.018262099454049198,-0.0007718554270170041
179,1.1952851168047667,1.1952840821284803,0.9358801277671894,0.024935619345295274,-0.017454853186670866,0.010736721359995873,-0.02370109950500076,0.006837001744014768
180,1.1959402560050711,1.1959391324494473,0.937054786302708,0.024578850791325234,-0.01814830809407825,-0.0010346410857335962,-0.025389782442785454,0.011922477415167667
